Model Name,GPU Type,Num GPUs,Batch Size,Input Token Length,Output Token Length,Avg Prefill Time (s),Avg Decode Time (s)
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,4,0.02663332223892212,0.06910374164581298
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,4,0.025067555904388427,0.06981148719787597
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,4,0.026905620098114015,0.07013707160949706
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,4,0.029085028171539306,0.07122882604598998
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,4,0.0401341438293457,0.07520623207092285
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,4,0.07033946514129638,0.07871907949447632
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,4,0.12884893417358398,0.09087831974029542
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,4,0.25940641164779665,0.1090046763420105
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,8,0.024404489994049074,0.16124886274337769
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,8,0.02522486448287964,0.16348166465759278
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,8,0.026998329162597656,0.16345633268356324
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,8,0.02876523733139038,0.16605504751205444
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,8,0.04013745784759522,0.17246013879776
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,8,0.0707085132598877,0.18216465711593627
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,8,0.13018046617507933,0.20660576820373538
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,8,0.26128478050231935,0.24847927093505856
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,16,0.024428200721740723,0.34527785778045655
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,16,0.025248539447784425,0.3494443416595459
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,16,0.02708219289779663,0.3500373840332031
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,16,0.02911149263381958,0.35519133806228637
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,16,0.04080092906951904,0.36619398593902586
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,16,0.07131491899490357,0.3868747115135193
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,16,0.13056700229644774,0.4395602941513062
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,16,0.26241527795791625,0.5373974442481995
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,32,0.0244032621383667,0.7124600052833556
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,32,0.02523326873779297,0.7219092726707459
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,32,0.027240169048309327,0.7255626678466798
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,32,0.029062700271606446,0.7338454484939576
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,32,0.04111623764038086,0.7545643448829651
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,32,0.07515453100204468,0.7982242941856383
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,32,0.1299684762954712,0.9203185677528383
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,32,0.26228938102722166,1.1220400810241697
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,64,0.02438061237335205,1.4491058588027954
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,64,0.025361037254333495,1.4730679988861084
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,64,0.02739872932434082,1.489813542366028
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,64,0.029408204555511474,1.501527976989746
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,64,0.04260938167572022,1.5436674714088439
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,64,0.07521630525588989,1.6433143973350526
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,64,0.1334467887878418,1.9092803001403809
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,64,0.2660910844802856,2.3571520805358888
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,128,0.024534225463867188,2.9315284371376036
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,128,0.025462591648101808,2.9758782386779785
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,128,0.02744261026382446,2.988710868358612
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,128,0.029857218265533447,3.0428217172622682
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,128,0.042997467517852786,3.1477255105972293
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,128,0.07389266490936279,3.3811415076255797
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,128,0.1338895082473755,3.954275047779083
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,128,0.2706414580345154,4.95904334783554
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,256,0.024374163150787352,5.88291506767273
