Model Name,GPU Type,Num GPUs,Batch Size,Input Token Length,Output Token Length,Avg Prefill Power (W),Avg Decode Power (W)
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,4,233.990075,267.5312
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,4,244.54235,272.79200000000003
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,4,270.70754999999997,274.905375
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,4,288.168075,276.37835
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,4,285.650275,278.082675
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,4,292.771825,284.721975
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,4,297.419075,286.335725
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,4,298.01052500000003,283.47957499999995
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,8,249.47715,280.9828
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,8,260.0041,278.339025
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,8,282.571125,279.476375
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,8,280.8558,273.98040000000003
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,8,286.417875,261.2795
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,8,293.209425,268.6623
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,8,301.3518,281.76925
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,8,298.54657499999996,285.879575
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,16,238.863225,279.35925000000003
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,16,254.4961,282.017025
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,16,268.958175,280.45705
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,16,290.11109999999996,295.76484999999997
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,16,285.656975,289.08735
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,16,290.29927499999997,289.344475
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,16,296.453775,291.49922499999997
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,16,298.377475,286.7786
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,32,254.4083,280.42157499999996
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,32,259.89005000000003,277.008825
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,32,279.914525,292.08675
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,32,280.02135,293.250625
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,32,283.82242499999995,292.68935
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,32,292.10810000000004,295.212325
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,32,294.178725,294.83955000000003
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,32,297.87552500000004,290.825625
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,64,247.25660000000002,280.636975
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,64,263.110525,285.04415
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,64,277.32835,292.690375
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,64,285.091925,293.993825
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,64,285.08755,287.520325
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,64,294.084975,296.01875
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,64,298.993725,296.46504999999996
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,64,298.3669,287.924
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,128,256.755725,281.51397499999996
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,128,265.87685,285.082875
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,128,280.62475,294.819025
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,128,287.475125,295.56395
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,128,283.825625,290.823875
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,128,287.403875,292.07485
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,128,299.61062499999997,296.98825
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,128,298.86035000000004,292.3054
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,256,249.4187,281.323375
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,256,258.502475,282.67255
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,256,282.43355,294.417825
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,256,287.92705,294.875275
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,256,276.03605000000005,287.8302
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,256,296.07655,298.149825
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,256,300.0031,294.798075
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,256,299.6155,289.638475
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,512,264.803125,285.411775
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,512,255.12314999999998,283.05787499999997
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,512,284.739375,295.274925
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,512,288.623825,296.643775
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,512,287.985925,293.36955
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,512,293.22405,295.80075
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,512,302.63694999999996,298.943025
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,512,299.48485,294.64865
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,64,4,253.544675,278.8852
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,64,4,261.656075,274.005975
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,64,4,274.467675,266.47575
