Number of Searched Indices,Sample nProbe,Deep nProbe,Retrieved Docs,Num Threads,Avg Sample Search Time (s),Avg Deep Search Time (s),Avg Aggregation Time (s)
1,1,128,5,32,0.002190969884395553,0.06179486960172649,3.332644701004028e-05
1,1,256,5,32,0.0024157986044883203,0.11720930039882656,3.094598650932312e-05
1,2,128,5,32,0.002736069262027681,0.058202058076858486,3.135949373245239e-05
1,2,256,5,32,0.0025654807686805252,0.11603702604770656,3.0510127544403076e-05
1,4,128,5,32,0.0041579827666282185,0.054652728140354115,3.079324960708618e-05
1,4,256,5,32,0.0037251487374305187,0.10629852861165996,2.9813498258590698e-05
1,8,16,5,32,0.0057921707630157,0.005644157528877203,2.9124319553375244e-05
1,8,32,5,32,0.007626205682754469,0.013156838715076394,2.995133399963379e-05
1,8,64,5,32,0.006509885191917369,0.025793977081775617,3.088265657424927e-05
1,8,128,5,32,0.006713092327117869,0.05201002210378642,3.0085444450378418e-05
1,8,256,5,32,0.006277028471231417,0.10331530496478077,2.999231219291687e-05
1,16,128,5,32,0.013732798397540994,0.051618702709674794,3.091990947723389e-05
1,16,256,5,32,0.0116886049509048,0.10120787471532817,2.8580427169799805e-05
1,32,128,5,32,0.025771461427211706,0.05033152550458904,3.144890069961548e-05
1,32,256,5,32,0.022007487714290574,0.10030455142259594,2.8461217880249023e-05
1,64,128,5,32,0.050478324294090215,0.04775317758321757,3.078579902648926e-05
1,64,256,5,32,0.04473225027322764,0.099710501730442,2.8893351554870605e-05
1,128,128,5,32,0.10442978888750072,0.04176402837038035,3.0994415283203125e-05
1,128,256,5,32,0.08815749734640117,0.09605806320905681,2.8409063816070557e-05
1,256,256,5,32,0.18916361778974528,0.08579290658235546,2.884119749069214e-05
2,1,128,5,32,0.002190969884395553,0.0651479065418243,3.635138273239136e-05
2,1,256,5,32,0.0024157986044883203,0.1246106885373592,3.214925527572632e-05
2,2,128,5,32,0.002736069262027681,0.060030072927474934,3.3639371395111084e-05
2,2,256,5,32,0.0025654807686805252,0.1176826916635036,3.2376497983932495e-05
2,4,128,5,32,0.0041579827666282185,0.06070052832365032,3.398209810256958e-05
2,4,256,5,32,0.0037251487374305187,0.11730299144983287,3.133341670036316e-05
2,8,16,5,32,0.0057921707630157,0.006077378988265953,2.9340386390686035e-05
2,8,32,5,32,0.007626205682754469,0.014097809791564893,3.137439489364624e-05
2,8,64,5,32,0.006509885191917369,0.028198674321174566,3.22684645652771e-05
2,8,128,5,32,0.006713092327117869,0.058549009263515424,3.285706043243408e-05
2,8,256,5,32,0.006277028471231417,0.11593976244330402,3.1813979148864746e-05
2,16,128,5,32,0.013732798397540994,0.05953161418437953,3.366917371749878e-05
2,16,256,5,32,0.0116886049509048,0.11487596482038494,3.0077993869781494e-05
2,32,128,5,32,0.025771461427211706,0.056211359798908185,3.384053707122803e-05
2,32,256,5,32,0.022007487714290574,0.11204493790864942,3.0763447284698486e-05
2,64,128,5,32,0.050478324294090215,0.052556827664375264,3.378838300704956e-05
2,64,256,5,32,0.04473225027322764,0.1101840957999229,3.0025839805603027e-05
2,128,128,5,32,0.10442978888750072,0.04533006995916363,3.3445656299591064e-05
2,128,256,5,32,0.08815749734640117,0.10566054284572597,2.993643283843994e-05
2,256,256,5,32,0.18916361778974528,0.09038360416889187,2.9928982257843018e-05
3,1,128,5,32,0.002190969884395553,0.06132318824529642,3.755837678909302e-05
3,1,256,5,32,0.0024157986044883203,0.11502468585968013,3.330036997795105e-05
3,2,128,5,32,0.002736069262027681,0.06149059534072872,3.523379564285278e-05
3,2,256,5,32,0.0025654807686805252,0.121332935988903,3.36281955242157e-05
3,4,128,5,32,0.0041579827666282185,0.062152422964572865,3.574788570404053e-05
3,4,256,5,32,0.0037251487374305187,0.12032385170459743,3.2339245080947876e-05
3,8,16,5,32,0.0057921707630157,0.006738014519214584,3.14861536026001e-05
3,8,32,5,32,0.007626205682754469,0.014610804617404887,3.234297037124634e-05
3,8,64,5,32,0.006509885191917369,0.028428748250007577,3.324449062347412e-05
3,8,128,5,32,0.006713092327117869,0.059751905500888776,3.4008175134658813e-05
3,8,256,5,32,0.006277028471231417,0.1168933808803558,3.302469849586487e-05
3,16,128,5,32,0.013732798397540994,0.0623186975717544,3.5062432289123535e-05
3,16,256,5,32,0.0116886049509048,0.1211912259459495,3.168731927871704e-05
3,32,128,5,32,0.025771461427211706,0.06205852329730984,7.566064596175996e-05
3,32,256,5,32,0.022007487714290574,0.12081035971641536,3.174692392349243e-05
3,64,128,5,32,0.050478324294090215,0.055939964950084645,3.5025179386138916e-05
3,64,256,5,32,0.04473225027322764,0.11482514441013332,3.108382225036621e-05
3,128,128,5,32,0.10442978888750072,0.0489893183112144,3.580749034881592e-05
3,128,256,5,32,0.08815749734640117,0.109231024980545,3.154575824737549e-05
3,256,256,5,32,0.18916361778974528,0.09880683571100231,3.189593553543091e-05
4,1,128,5,32,0.002190969884395553,0.06154724955558773,3.866851329803467e-05
4,1,256,5,32,0.0024157986044883203,0.12086900323629375,3.378093242645264e-05
