Number of Clusters Searched,Sample nProbe,nProbe,Monolithic NDCG,Split NDCG,Cluster NDCG,Monolithic Recall,Split Recall,Cluster Recall
1,1,128,0.8635789844221353,0.1645321164842225,0.5018902069436427,0.8125,0.10625000000000001,0.4375
1,1,256,0.9308758554070701,0.1857296293138235,0.5151196374810726,0.9,0.11875000000000001,0.45625
1,2,128,0.8635789844221353,0.1645321164842225,0.616523692736816,0.8125,0.10625000000000001,0.5375
1,2,256,0.9308758554070701,0.1857296293138235,0.6391526601539067,0.9,0.11875000000000001,0.56875
1,4,128,0.8635789844221353,0.1645321164842225,0.6947962733530031,0.8125,0.10625000000000001,0.6125
1,4,256,0.9308758554070701,0.1857296293138235,0.7219898767026784,0.9,0.11875000000000001,0.65
1,8,16,0.9308758554070701,0.11936170569391301,0.5921872665023257,0.9,0.07500000000000001,0.48125
1,8,32,0.9308758554070701,0.1366475328816675,0.6570039135885272,0.9,0.08750000000000001,0.55625
1,8,64,0.9308758554070701,0.1366475328816675,0.6928185495211118,0.9,0.08750000000000001,0.6
1,8,128,0.8972274199146026,0.1645321164842225,0.732733344125957,0.85625,0.10625000000000001,0.65
1,8,256,0.9308758554070701,0.1857296293138235,0.7599269474756324,0.9,0.11875000000000001,0.6875
1,16,128,0.8635789844221353,0.1645321164842225,0.7380327223333574,0.8125,0.10625000000000001,0.65625
1,16,256,0.9308758554070701,0.1857296293138235,0.7652263256830326,0.9,0.11875000000000001,0.69375
1,32,128,0.8635789844221353,0.1645321164842225,0.7545838072462961,0.8125,0.10625000000000001,0.675
1,32,256,0.9308758554070701,0.1857296293138235,0.7817774105959715,0.9,0.11875000000000001,0.7125
1,64,128,0.8635789844221353,0.1645321164842225,0.7817336485740355,0.8125,0.10625000000000001,0.7
1,64,256,0.9308758554070701,0.1857296293138235,0.8089272519237108,0.9,0.11875000000000001,0.7375
1,128,128,0.8635789844221353,0.1645321164842225,0.7831213411395892,0.8125,0.10625000000000001,0.7
1,128,256,0.9308758554070701,0.1857296293138235,0.8103149444892646,0.9,0.11875000000000001,0.7375
1,256,256,0.9308758554070701,0.1857296293138235,0.8103149444892646,0.9,0.11875000000000001,0.7375
2,1,128,0.8635789844221353,0.24036249600819443,0.6987897438233037,0.8125,0.1625,0.6375
2,1,256,0.9308758554070701,0.26156000883779545,0.7209542339800705,0.9,0.17500000000000002,0.66875
2,2,128,0.8635789844221353,0.24036249600819443,0.6973202592736724,0.8125,0.1625,0.64375
2,2,256,0.9308758554070701,0.26156000883779545,0.7194847494304392,0.9,0.17500000000000002,0.675
2,4,128,0.8635789844221353,0.24036249600819443,0.8109429985621202,0.8125,0.1625,0.75625
2,4,256,0.9308758554070701,0.26156000883779545,0.8376721246514716,0.9,0.17500000000000002,0.79375
2,8,16,0.9308758554070701,0.17790625803013047,0.6679604590616915,0.9,0.11875000000000001,0.58125
2,8,32,0.9308758554070701,0.20579084163268546,0.7303786670776139,0.9,0.1375,0.65625
2,8,64,0.9308758554070701,0.20579084163268546,0.7933431443379378,0.9,0.1375,0.725
2,8,128,0.8972274199146026,0.24036249600819443,0.8546439248027983,0.85625,0.1625,0.8
2,8,256,0.9308758554070701,0.26156000883779545,0.8813730508921497,0.9,0.17500000000000002,0.8375
2,16,128,0.8635789844221353,0.24036249600819443,0.8522454857325191,0.8125,0.1625,0.80625
2,16,256,0.9308758554070701,0.26156000883779545,0.8789746118218705,0.9,0.17500000000000002,0.84375
2,32,128,0.8635789844221353,0.24036249600819443,0.8839599629928431,0.8125,0.1625,0.8375
2,32,256,0.9308758554070701,0.26156000883779545,0.9147892477544551,0.9,0.17500000000000002,0.88125
2,64,128,0.8635789844221353,0.24036249600819443,0.8947471924380577,0.8125,0.1625,0.85
2,64,256,0.9308758554070701,0.26156000883779545,0.9255764771996698,0.9,0.17500000000000002,0.89375
2,128,128,0.8635789844221353,0.24036249600819443,0.8947471924380577,0.8125,0.1625,0.85
2,128,256,0.9308758554070701,0.26156000883779545,0.9255764771996698,0.9,0.17500000000000002,0.89375
2,256,256,0.9308758554070701,0.26156000883779545,0.9296766358719305,0.9,0.17500000000000002,0.9
3,1,128,0.8635789844221353,0.35964240971802985,0.8073453399567014,0.8125,0.25625000000000003,0.7625
3,1,256,0.9308758554070701,0.3730165512639378,0.833609988785729,0.9,0.26875,0.8
3,2,128,0.8635789844221353,0.35964240971802985,0.7871585736318258,0.8125,0.25625000000000003,0.7375
