Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
0,1,8,5,32,0.0047047996520996095
0,2,8,5,32,0.006723226308822632
0,4,8,5,32,0.006015132665634155
0,8,8,5,32,0.006071964502334595
0,16,8,5,32,0.0068747949600219726
0,24,8,5,32,0.006618022918701172
0,32,8,5,32,0.006662387847900391
0,40,8,5,32,0.010235207080841064
0,48,8,5,32,0.013685849905014038
0,56,8,5,32,0.02540043115615845
0,64,8,5,32,0.02703249454498291
0,72,8,5,32,0.030378674268722535
0,80,8,5,32,0.031757177114486695
0,88,8,5,32,0.032364516258239745
0,96,8,5,32,0.021399102210998534
0,104,8,5,32,0.018635454177856444
0,112,8,5,32,0.019360721111297607
0,120,8,5,32,0.01932417392730713
0,128,8,5,32,0.019593546390533446
0,136,8,5,32,0.021717488765716553
0,144,8,5,32,0.02334003210067749
0,152,8,5,32,0.023515995740890503
0,160,8,5,32,0.02397292971611023
1,1,8,5,32,0.005016731023788452
1,2,8,5,32,0.005624809265136719
1,4,8,5,32,0.005502780675888061
1,8,8,5,32,0.006278070211410522
1,16,8,5,32,0.006786947250366211
1,24,8,5,32,0.0072812092304229735
1,32,8,5,32,0.007767813205718994
1,40,8,5,32,0.011741288900375367
1,48,8,5,32,0.012578861713409424
1,56,8,5,32,0.013128387928009033
1,64,8,5,32,0.013496205806732178
1,72,8,5,32,0.01714224100112915
1,80,8,5,32,0.01812903046607971
1,88,8,5,32,0.01849370837211609
1,96,8,5,32,0.019020380973815917
1,104,8,5,32,0.02404455542564392
1,112,8,5,32,0.023719514608383178
1,120,8,5,32,0.024039530754089357
1,128,8,5,32,0.024049651622772217
1,136,8,5,32,0.025729633569717407
1,144,8,5,32,0.028438385725021362
1,152,8,5,32,0.029079068899154664
1,160,8,5,32,0.030286444425582884
2,1,8,5,32,0.004197365045547486
2,2,8,5,32,0.004354238510131836
2,4,8,5,32,0.004816062450408935
2,8,8,5,32,0.005109778642654419
2,16,8,5,32,0.005393689870834351
2,24,8,5,32,0.0058296358585357665
2,32,8,5,32,0.006440637111663819
2,40,8,5,32,0.0095731782913208
2,48,8,5,32,0.01030174970626831
2,56,8,5,32,0.01112275242805481
2,64,8,5,32,0.011529712677001954
2,72,8,5,32,0.012222485542297363
2,80,8,5,32,0.014539673328399658
2,88,8,5,32,0.015592200756072998
