Sample nprobe,Deep nprobe,Batch Size,Retrieved Docs,Clusters Searched,Avg Hermes Retrieval Latency (s),Avg Hermes Throughput (QPS)
8,128,32,5,1,0.09758977280065086,327.9032124131206
8,128,32,5,2,0.10242093517398167,312.4361239783824
8,128,32,5,3,0.1045531564504057,306.0644086358029
8,128,32,5,4,0.1065144960473514,300.4285912949753
8,128,32,5,5,0.10759284291017933,297.41755245480635
8,128,32,5,6,0.10934944025757552,292.6398152987628
8,128,32,5,7,0.11188229184474838,286.01487753222176
8,128,32,5,8,0.1150844488800148,278.05668195329054
8,128,32,5,9,0.11571011879093768,276.5531686802331
8,128,32,5,10,0.11571711459981329,276.5364493460298
8,128,64,5,1,0.12079329637509041,529.8307267090847
8,128,64,5,2,0.12707536265343367,503.6381456139852
8,128,64,5,3,0.17104765056372487,374.16474174929635
8,128,64,5,4,0.19768565287596385,323.7463066687811
8,128,64,5,5,0.1956781813003952,327.0676351072093
8,128,64,5,6,0.19327370436885688,331.13661379334866
8,128,64,5,7,0.18637667176407394,343.39061532880464
8,128,64,5,8,0.18807366529438674,340.2921929544069
8,128,64,5,9,0.18971490664532947,337.3482934561779
8,128,64,5,10,0.1897271097206736,337.3265955203988
