Frequency,Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
800,0,1,128,5,32,0.19755978584289552
800,0,2,128,5,32,0.2080289363861084
800,0,4,128,5,32,0.21799770832061768
800,0,8,128,5,32,0.22477444410324096
800,0,16,128,5,32,0.22954428911209107
800,0,24,128,5,32,0.23477874875068663
800,0,32,128,5,32,0.23810667395591736
800,0,40,128,5,32,0.42912389755249025
800,0,48,128,5,32,0.4382937383651733
800,0,56,128,5,32,0.4434205186367035
800,0,64,128,5,32,0.4489846086502075
800,0,72,128,5,32,0.6312233805656433
800,0,80,128,5,32,0.6439309251308442
800,0,88,128,5,32,0.6499272584915161
800,0,96,128,5,32,0.6550446128845215
800,0,104,128,5,32,0.8324305951595307
800,0,112,128,5,32,0.848016448020935
800,0,120,128,5,32,0.8577798354625702
800,0,128,128,5,32,0.8629235804080964
800,0,136,128,5,32,1.0348818731307983
800,0,144,128,5,32,1.0500657701492309
800,0,152,128,5,32,1.0599384641647338
800,0,160,128,5,32,1.0650197219848634
800,1,1,128,5,32,0.22675901293754577
800,1,2,128,5,32,0.2389215350151062
800,1,4,128,5,32,0.25007029056549074
800,1,8,128,5,32,0.26101083397865293
800,1,16,128,5,32,0.26984148859977725
800,1,24,128,5,32,0.2766565179824829
800,1,32,128,5,32,0.2807450222969055
800,1,40,128,5,32,0.5002581799030303
800,1,48,128,5,32,0.5127127742767335
800,1,56,128,5,32,0.5227596616744995
800,1,64,128,5,32,0.5269579565525055
800,1,72,128,5,32,0.7388132011890411
800,1,80,128,5,32,0.7541177225112915
800,1,88,128,5,32,0.7617637920379638
800,1,96,128,5,32,0.7694060361385345
800,1,104,128,5,32,0.970407178401947
800,1,112,128,5,32,0.9905580031871796
800,1,120,128,5,32,1.0052261400222777
800,1,128,128,5,32,1.0089959621429443
800,1,136,128,5,32,1.2104694581031799
800,1,144,128,5,32,1.2263835227489472
800,1,152,128,5,32,1.2375595915317534
