Sample nprobe,Deep nprobe,Batch Size,Retrieved Docs,Clusters Searched,Avg Hermes Energy (J),Avg Hermes DVFS Energy (J),Avg Hermes Enhanced DVFS Energy (J)
8,128,1,5,1,365.16943595076793,336.20449168393606,309.66900346065756
8,128,1,5,2,404.19373863312006,368.5915178657949,338.16650999605656
8,128,1,5,3,446.43540118056933,402.43138658395605,371.0862814129909
8,128,1,5,4,490.6073498459607,438.1386555849105,405.5476382187962
8,128,1,5,5,536.1200844297887,475.9257736404968,441.08720409591916
8,128,1,5,6,577.9998943910499,510.41597076382635,473.36149597709175
8,128,1,5,7,618.4442327123779,543.2488092555183,504.33572213378295
8,128,1,5,8,655.6237723790706,573.4015745982066,532.4131386788189
8,128,1,5,9,690.8058187083111,601.8209297321412,558.8300492456874
8,128,1,5,10,723.0266108736157,627.7947786422395,582.7040530193626
